  210 ''''     0    0       0
 2935 BLL   0     55.74 9.15 75 Billund, DK
 1709 BLR  
 1405 BLV  
 2237 BMI      0   40.48  -88.92 0265 Central Il Regl Arpt, IL
   17 BNA  72327   36.25  -86.57 0180 Nashville, TN
 3121 BNE  
 1779 BO0  
 1228 BOB  
   18 BOG  80222    4.71  -74.14 2548 Bogota, Columbia
   19 BOI  72681   43.57 -116.22 0871 Boise, ID
 1193 BOI_ 
  361 BOM      0   19.08   72.87 9999 Bombay, India
   20 BOS  72509   42.36  -71.09 0030 Boston, MA
 3103 BOS0 
 2264 BOS? 
 1547 BPB  78954   13.07  -59.49   52 Grantley Adams, Barbados 
 2540 BPD  
 1213 BPI  
  788 BPK  
 1661 BPV  
 2102 BQG  
 2636 BQS  
  770 BRD      0   46.40  -94.13  374 Brainerd/Crow Wg, MN
 3045 BRF  
 3122 BRR  
  272 BRU  06451   50.90    4.53   58 Brussels National Apt, BX
 3117 BRV  
 2763 BSJ  
  267 BSM      0   30.20  -97.68  165 Bergstrom AFB, TX
  812 BSN  
 3074 BSV  
 2472 BTL      0  -19.25  146.75    9 Townsville
  633 BTP      0   40.79  -79.95  380 Butler Co, PA 
  385 BTR      0   30.53  -91.15   21 Baton Rouge/Ryan, LA
   21 BTV  72617   44.47  -73.15 0104 Burlington, VT
 1222 BUD  
   22 BUE  87585  -34.57  -58.37 0025 Buenos Aires, AG (Unofcl)
   23 BUF  72528   42.93  -78.73 0218 Buffalo, NY
 2517 BUN  
   24 BUR  72288   34.20 -118.37 0236 Burbank, CA
 2768 BVI  
 2756 BWA  
 2542 BWF  
   25 BWI  72406   39.18  -76.67 0047 Baltimore Intl, MD
 2819 BWI0 
 2332 BWJ  
 1570 BXK  
  694 BYH      0   35.97  -89.95   78 Blytheville AFB, AR
 1712 BZE  
 2729 BZN  
   26 CAE  72310   33.95  -81.12 0069 Columbia Metro, SC
 2929 CAG   0     39.25 9.05 3 Cagliari, IT
 3064 CAI  
  322 CAK  72521   40.92  -81.43  377 Canton/Akron, OH 
 2319 CAN  
 1685 CBG  
 1414 CBO  
 1940 CBR  
 1815 CCC  
 1501 CCE  
 1916 CCG  
 1733 CCO  
   27 CCS  80415   10.61  -66.98 0048 Caracas, Venezuela (Unofcl)
 2644 CCY  
 2834 CDB  70316  55.21  -162.72  31   COLD BAY AIRPORT, AK
 1960 CDC  
  345 CDF      0    0       0
  276 CDG      0  49.013    2.55  117 Paris Charles De Gaulle, FR
  606 CDL      0    0       0  
 2532 CDQ  
   28 CEF  74491   42.20  -72.53 0075 Wstvr AFB/Chcpee, MA
 1688 CEL  85574  -33.38  -70.78  476 Santiago/Benitez, Chile 
 1268 CFK  
 1723 CFW  
 2134 CGD  
 2465 CGE  
 2533 CGG  
  227 CGN  10513   50.87    7.17   99 Koln/Bonn, DL
 1408 CGZ  
 2233 CHA      0   35.04  -85.20 0207 Lovell Field
  767 CHB      0    0       0  
 2710 CHL  
 1729 CHN  
  720 CHO      0   38.13  -78.45  195 Charlottesville, VA 
   29 CHS  72208   32.90  -80.03 0015 Charleston, SC
 1162 CIA  
 1165 CIB  
   30 CID  72545   41.88  -91.70 0265 Cedar Rapids, IA
 1244 CIF  
 2231 CIU      0   46.25  -84.47 0243 Chippewa County Intl
 2661 CJS  
 2741 CJU  
  447 CKA      0    0       0  
  438 CKB       0  39.28  -80.23  366 Clarksburg/Bndum, WV
  437 CKC       0  47.84  -90.38  548 Grand Marais/Cook County, MN
  457 CKD       0  61.87 -158.1  9999 Crooked Creek, AK
  736 CKE  
 1493 CKF  
 1919 CKH   46740   22.58  120.35    9 Kaohsiung Intl, Taiwan  
  469 CKI       0
  435 CKJ       0
  476 CKL   72229  32.90  -87.25  140 Centreville, AL 
  523 CKM       0  
  470 CKO       0  
  487 CKP       0  
  399 CKS       0  -6.0   -37.55 0000 Carajas, BR
   31 CLE  72524   41.42  -81.87 0213 Cleveland/Hopkns, OH
  533 CLI  
 1587 CLK      0   34.90   33.70    2 Larnaca 
 1593 CLL  
 1534 CLO  
 1509 CLP  
 1829 CLR  
   32 CLT  72314   35.22  -80.93 0234 Charlotte/Dougls, NC
   33 CMH  72428   40.00  -82.88 0249 Columbus, OH
 2228 CMI      0   40.04  -88.28 0229 University Of Illinois-willard
 2227 CMX      0   47.17  -88.49 0333 Houghton County Memorial
 1689 CNA  
 2314 CNG  
 1635 CNM  
 1336 CNX  
 2847 COF  
 1937 COL  
 1786 COOD 
   34 COS  72466   38.82 -104.72 1881 Colorado Springs, CO
 2962 COU  72445  38.82  -92.22 274 Columbia Regional, MO/US
  480 CPA  
 1298 CPH  
 2657 CPL  
 1784 CPR  
 1273 CPT  
 1461 CRK  
 2141 CRL  
   35 CRP  72251   27.77  -97.50 0013 Corpus Christi, TX
 2226 CRW      0   38.37  -81.59 0299 Charlestown/Yeager, WV
 1918 CSG      0   32.52  -84.93  121 Columbus, GA  
 1239 CSS  
  348 CTP  46686   25.08  121.22   33 Chiang Kai Shek, Taiwan 
 2323 CTR  
  679 CTS  
 2464 CUM  
 1454 CUN  
 3116 CUN" 
 2691 CUN0 
 2660 CUU  
   36 CVG  72421   39.05  -84.67 0267 Cincinnati/Grtr, OH
 1908 CVR  
 2083 CVS  
 2224 CWA      0   44.78  -89.67 0389 Central Wisconsin
 1762 CWF  
 2550 CWR  
 2965 CYAM 71260  46.48  -84.52 192 Sault Ste Marie , ON/CN
 2369 CYBC 71187 49.13  -68.21  22  Baie Comeau, QB/CN
 2399 CYBG  71727   48.33  -71.00  159 Bagotville, QB/CN
 2373 CYCG 71884 49.30	-117.63	  495	Castlegar, BC/CN
 2379 CYDF  71809   49.22  -57.40   22 Deer Lake, NF/CN
 2420 CYDQ      0   55.75 -120.18  655 Dawson Creek Arp, BC/CN
 1231 CYEG 71123   53.33 -113.58  719 Edmonton Intl, AB/CN
 2390 CYFC  71700   45.87  -66.53   20 Fredericton, NB/CN
 2386 CYGK  71620   44.22  -76.60   93 Kingston, ON/CN
 2403 CYGP  71188   48.77  -64.48   33 Gaspe, QB/CN
 2396 CYGR  71709   47.42  -61.78   10 Iles De La Madel, QB/CN
  354 CYH      0    0       0
 2368 CYHZ 71395 44.88  -63.51 145  Halifax, NS/CN
 2410 CYKA  71887   50.70 -120.45  346 Kamloops, BC/CN
 2397 CYLD      0   47.82  -83.35  447 Chapleau Arpt, ON/CN
 2371 CYLW 71203 49.96 -119.38 429  Kelowna, BC/CN
 2375 CYMM  71932   56.65 -111.22  369 Fort Mcmurray, AB/CN
 1294 CYMX     0   45.68  -74.04   82 Montreal/Mirabel
 2388 CYOW  71628   45.32  -75.67  114 Ottawa Intl, ON/CN
 2413 CYPA  71869   53.22 -105.68  428 Prince Albert, SA/CN
 2417 CYPR  71898   54.30 -130.43   34 Prince Rupert, BC/CN
 2395 CYQB  71714   46.80  -71.38   73 Quebec, QB/CN
 2383 CYQG  71538   42.27  -82.97  190 Windsor, ON/CN
 2385 CYQI  71603   43.83  -66.08   43 Yarmouth, NS/CN
 2406 CYQL  71874   49.63 -112.80  929 Lethbridge, AB/CN
 2391 CYQM  71705   46.12  -64.68   71 Moncton, NB/CN
 2408 CYQR  71863   50.43 -104.67  577 Regina, SA/CN
 2400 CYQT  71749   48.37  -89.32  199 Thunder Bay, ON/CN
 2419 CYQU  71940   55.18 -118.88  669 Grand Prairie, AB/CN
  608 CYQX 71803   48.96  -54.57  151 Gander Intl, NF
 2392 CYQY  71707   46.17  -60.05   62 Sydney, NS/CN
 1843 CYR  
 2412 CYRL  71854   51.07  -93.80  383 Red Lake, ON/CN
 2411 CYRV  71882   50.97 -118.18  443 Revelstoke, BC/CN
   37 CYS  72564   41.15 -104.82 1872 Cheyenne, WY
 2394 CYSB  71730   46.62  -80.80  348 Sudbury, ON/CN
 2387 CYSJ  71609   45.32  -65.88  109 Saint John, NB/CN
 2376 CYTS  71739   48.57  -81.37  295 Timmins, ON/CN
  357 CYU      0    0       0
 2389 CYUL  71627   45.47  -73.75   36 Montreal/Dorval, QB/CN
 2377 CYUY      0   48.20  -78.83  301 Rouyn Airport, QB/CN
 2109 CYV  
 2398 CYVO  71725   48.07  -77.78  337 Val D'or, QB/CN
  785 CYVR 71892   49.18 -123.18    2 Vancouver Intl, BC
 2651 CYVV 
 1230 CYWG 71852   49.91  -97.23  239 Winnipeg, MB/CN
 2382 CYWK  71825   52.93  -66.87  551 Wabush/Lbrdr Cty, NF/CN
 2405 CYXC  71880   49.60 -115.78  939 Cranbrook, BC/CN
 2381 CYXE  71866   52.17 -106.68  504 Saskatoon, SA/CN
 2407 CYXH  71872   50.02 -110.72  716 Medicine Hat, AB/CN
 2374 CYXJ  71943   56.23 -120.73  695 Fort Saint John, BC/CN
 2416 CYXS  71896   53.88 -122.68  691 Prince George, BC/CN
 2418 CYXT  71951   54.47 -128.58  217 Terrace, BC/CN
 2384 CYXU  71623   43.03  -81.15  278 London, ON/CN
 2404 CYXX  71108   49.03 -122.37   58 Abbotsford, BC/CN
 1295 CYXY     0   60.71 -135.07  706 Whitehorse Intl
  358 CYY      0    0       0
 2393 CYYB  71731   46.35  -79.43  371 North Bay, ON/CN
  805 CYYC 71877   51.12 -114.02 1084 Calgary Intl, AB/CN 
 2437 CYYD  71950   54.82 -127.18  523 Smithers, BC/CN
 2370 CYYF 71889 49.46 -119.60 344  Penticton, BC/CN
 2380 CYYG  71706   46.28  -63.13   54 Charlottetown, PE/CN
 2402 CYYJ  71799   48.65 -123.43   19 Victoria Intl, BC/CN
 2421 CYYQ  71913   58.75  -94.07   29 Churchill, MN/CN
 2415 CYYR  71816   53.32  -60.42   49 Goose Bay, NF/CN
 2259 CYYT 
 2401 CYYY  71718   48.60  -68.22   52 Mont Joli, QB/CN
  783 CYYZ 71624   43.68  -79.63  176 Toronto Intl, ON 
 2414 CYZP  71101   53.25 -131.82    6 Sandspit, BC/CN
 2409 CYZT  71109   50.68 -127.37   22 Port Hardy, BC/CN
 2378 CYZV  71811   50.22  -66.27   55 Sept Iles, QB/CN
 2372 CZBF     0 47.63  -65.74  59  Bathurst, NB/CN
 2096 CZM  
 2046 DAA  
 2584 DAAG  60390   36.71    3.25   25 Algiers, Algeria
 1705 DAB  
  890 DAE  
  350 DAL  72259   32.90  -97.03 0182 Dallas/Fort Worth, TX  
 2906 DAP  
 2817 DAS  
 2611 DAUH 60581  31.67   6.14   141  Hassi Messaoud, Algeria
 2807 DAX  
   38 DAY  72429   39.90  -84.20 0298 Dayton/James Cox, OH
 1232 DBBS 65335    8.03    2.47  200 Save, Benin
 1523 DBC  
 2963 DBQ  72547  42.40  -90.70 329 Dubuque Municipal, IA/US
 2467 DBX  
   39 DCA  72405   38.85  -77.03 0005 Washington National, VA
 2904 DCD  
 1701 DCP  
  575 DDD  
 2138 DDF  
  293 DDK  10513   50.87    7.17 0099 Koln/Bonn, DL
 1986 DDP  
  741 DEC      0   39.83  -88.87  208 Decatur, IL 
 2827 DEF  
  266 DEL  42182   28.58   77.20  216 Delhi/Safdarjun, IN
   40 DEN  72469   39.87 -104.67 1611 Denver (DIA), CO
 2145 DEO  
  654 DES      0    0       0  
 3087 DET  
 1774 DEW  
 1608 DF0  
 3129 DF1  
 1879 DF9  
 2574 DFFD  65503   12.35   -1.52  306 Ouagadougou, Burkino Faso
 1286 DFH  
 1957 DFK  
 2592 DFL  
 2116 DFM  
 1909 DFU  
 1754 DFV  
   41 DFW  72259   32.90  -97.03 0182 Dallas/Fort Worth, TX
 2814 DFWP 
 3131 DFX  
 2755 DGA  
  931 DGAA     0    5.60   -0.20   68 Accra
 1293 DHF  
 2683 DHN  
 1973 DIA  
  932 DIAP     0    5.20   -3.90    7 Abidjan
 2744 DJU  
  417 DKA  
  641 DKC  48995   10.60  103.68   12 Kompong, COMBODIA
 2726 DKI  
  868 DKJ  
  773 DKK  
  708 DKL  
  699 DKM  
  550 DKP  
  670 DKR  
  465 DKS  
 1343 DKT  
 1690 DKW  
 2832 DLG  70321  59.05  -158.52  29   DILLINGHAM, AK
 2221 DLH      0   46.84  -92.19 0435 Duluth Intl, MN
 1999 DLR  
 3046 DME  
 2352 DNA  
 1373 DNAA 65125    9.01    7.26  342 Abuja, Nigeria
  933 DNMM     0    6.50    3.30   38 Lagos
 2576 DNPO  65250    4.85    7.02   18 Port Harcourt, Nigeria
 1128 DOOD 
 2093 DOV  
 1600 DPC  
 1639 DPP  
 2111 DPV  
 2024 DRC  
 1711 DRD  
 2461 DRK  
 2575 DRRN  61052   13.50    2.18  223 Naimey, Niger
 3066 DRS  
   42 DRT  72261   29.37 -100.92 0313 Del Rio, TX
  371 DSD      0    0       0
   43 DSM  72546   41.53  -93.65 0294 Des Moines, IA
 2706 DSO  
 2536 DSQ  
 1970 DST  
 2050 DTL  
  934 DTMB     0   35.60   10.70    2 Monastir
  935 DTTA     0   36.80   10.20    6 Tunis
 2288 DTU  
   44 DTW  72537   42.23  -83.33 0191 Detroit Metro, MI
 1655 DUB  
  311 DUS  10400   51.28    6.78   44 Duesseldorf, DL     
 2830 DUT  70489  53.89  -166.53   4   DUTCH HARBOR/Unalaska, AK
 2218 DVL      0   48.11  -98.91 0443 Devils Lake Muni
